,city,state_name,county_name,lat,lng,zips,title,link,description,published,location_match
112,,California,,,,,Rare northern white rhino dies in US,http://www.bbc.co.uk/news/world-us-canada-30484529#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"A male northern white rhinoceros named Angalifu has died at the San Diego Zoo in California, leaving only five of the species in the entire world.","Mon, 15 Dec 2014 15:28:20 GMT",California
113,,California,,,,,SpaceX to attempt rocket recovery,http://www.bbc.co.uk/news/science-environment-29361000#sa-ns_mchannel=rssns_source=PublicRSS20-sa,California's SpaceX company will take the unusual step of trying to land part of its Falcon rocket after it launches a cargo mission to the space station on Tuesday.,"Tue, 06 Jan 2015 01:19:31 GMT",California
114,,California,,,,,California rats 'up for adoption',http://www.bbc.co.uk/go/rss/int/news/-/news/world-us-canada-11817720,"A Californian animal shelter seeks adoptive homes for 1,000 rats rescued from a house the rodents had infested and virtually destroyed.","Tue, 23 Nov 2010 02:00:20 GMT",California
115,,California,,,,,Red tide: Electric blue waves wash California shore,http://www.bbc.co.uk/news/world-us-canada-44076902,Glowing blue algae have transformed California's coast.,"Thu, 10 May 2018 23:10:40 GMT",California
116,,California,,,,,VIDEO: Giant 18ft fish found in California,http://www.bbc.co.uk/news/science-environment-24546693#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"An oarfish, measuring over 18ft long (5.5m), has been discovered off the south Californian coast.","Wed, 16 Oct 2013 08:59:01 GMT",California
117,,California,,,,,VIDEO: Timelapse shows Virgin Galactic space ship,http://www.bbc.co.uk/news/uk-35610678#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Sir Richard Branson is preparing to unveil a new version of his Virgin Galactic space ship after months of preparation in the Mojave desert in California.,"Fri, 19 Feb 2016 09:04:28 GMT",California
118,,California,,,,,Causes of deadly dry-lightning wildfires revealed,https://www.bbc.co.uk/news/science-environment-62406676?at_medium=RSSat_campaign=KARANGA,"The conditions for dry lightning, responsible for devastating California wildfires, have been identified.","Mon, 08 Aug 2022 16:24:19 GMT",California
119,,California,,,,,Camera seeks dark energy clues,http://www.bbc.co.uk/news/science-environment-31472416#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"California scientists have given details of a telescope camera they are assembling to study ""dark energy"".","Sat, 14 Feb 2015 15:33:13 GMT",California
120,,California,,,,,Dead fish clog California marina,http://www.bbc.co.uk/go/rss/int/news/-/news/world-us-canada-12682145,US officials fear a public health hazard after an estimated one million sardines that inexplicably washed up in a California marina begin to rot.,"Wed, 09 Mar 2011 01:04:48 GMT",California
121,,California,,,,,AUDIO: Hungry goats to do battle with weeds,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-12679005,"A nature reserve in California is using hungry goats in the battle against invasive species. Danielle Lefer, from the Palos Verdes Peninsula Land Conservancy, explains the tactic.","Tue, 08 Mar 2011 15:56:40 GMT",California
122,,California,,,,,President Obama in Yosemite: 'Climate change is a reality',http://www.bbc.co.uk/news/world-us-canada-36569614,President Barack Obama draws attention to the dangers of climate change while on a visit to Yosemite National Park in California.,"Sun, 19 Jun 2016 02:10:10 GMT",California
123,,California,,,,,California votes to extend cap-and-trade climate law to 2030,http://www.bbc.co.uk/news/world-us-canada-40640445,Legislators vote to extend a programme that charges firms for releasing pollutants to the year 2030.,"Tue, 18 Jul 2017 10:50:03 GMT",California
124,,California,,,,,First gene-editing in human body attempt,http://www.bbc.co.uk/news/health-42009929,"Gene-editing has been attempted on cells inside a patient, in a world first by doctors in California.","Thu, 16 Nov 2017 09:40:14 GMT",California
125,,California,,,,,SpaceX sends 60 more Starlink satellites into orbit,https://www.bbc.co.uk/news/science-environment-51013308,The California company's latest mission makes it the world's largest commercial satellite operator.,"Tue, 07 Jan 2020 03:28:56 GMT",California
126,,California,,,,,Autism 'linked' to heavy traffic,http://www.bbc.co.uk/news/health-20493360#sa-ns_mchannel=rssns_source=PublicRSS20-sa,The possibility that autism is linked to traffic pollution has been raised by researchers in California.,"Tue, 27 Nov 2012 03:14:46 GMT",California
127,,California,,,,,California earthquake: Power 'restored to most' after 7.1-magnitude quake,https://www.bbc.co.uk/news/world-us-canada-48891511,Power has been restored to most homes that lost it in the 7.1-magnitude earthquake.,"Sat, 06 Jul 2019 18:56:52 GMT",California
128,,California,,,,,California’s Dixie Fire Keeps on Growing,https://earthobservatory.nasa.gov/images/148669/californias-dixie-fire-keeps-on-growing,The largest fire currently burning in the United States continues to produce enormous plumes of smoke.,"Fri, 06 Aug 2021 17:22:02 -0400",California
129,,California,,,,,California Burning,https://earthobservatory.nasa.gov/images/148731/california-burning,"Several destructive fires have charred landscapes in northern California, and their emissions are adding up.","Fri, 20 Aug 2021 15:35:10 -0400",California
130,,California,,,,,A Multi-Dimensional Fire Challenge,https://earthobservatory.nasa.gov/images/148913/a-multi-dimensional-fire-challenge,"Accumulating fuels and rising populations are contributing to California’s large, destructive fires.","Tue, 05 Oct 2021 18:42:46 -0400",California
131,,California,,,,,Fire Encroaching on Giant Sequoias,https://earthobservatory.nasa.gov/images/148840/fire-encroaching-on-giant-sequoias,"In the midst of another brutal fire season, several of California’s natural treasures have also been threatened.","Thu, 16 Sep 2021 17:18:52 -0400",California
132,,California,,,,,Mapping Methane Emissions in California,https://earthobservatory.nasa.gov/images/148806/mapping-methane-emissions-in-california,"Using precision instruments and new mapping and machine-learning tools, a research team has been pinpointing sources of the greenhouse gas.","Thu, 09 Sep 2021 00:00:00 -0400",California
133,,California,,,,,California’s Nightmare Fire Season Continues,https://earthobservatory.nasa.gov/images/147363/californias-nightmare-fire-season-continues,Another stretch of intense heat has reinvigorated the state’s brutal 2020 fire season.,"Fri, 02 Oct 2020 17:48:42 -0400",California
134,,California,,,,,Precipitation Piles on in California,https://www.earthobservatory.nasa.gov/images/151107/precipitation-piles-on-in-california,Successive atmospheric rivers in March dropped even more rain and snow throughout the state.,"Fri, 17 Mar 2023 17:38:02 -0400",California
135,,California,,,,,Mountain Pass Rare Earth Mine,https://www.earthobservatory.nasa.gov/images/151085/mountain-pass-rare-earth-mine,The mountains of southeastern California are home to a large rare-earth element mine.,"Wed, 15 Mar 2023 00:00:00 -0400",California
136,,California,,,,,Nitrogen Dioxide in the Neighborhood,https://www.earthobservatory.nasa.gov/images/151005/nitrogen-dioxide-in-the-neighborhood,A team of scientists mapped nitrogen dioxide in California’s air at the neighborhood scale and found hotspots of the air pollutant near high-rise buildings and food processing facilities.,"Tue, 07 Mar 2023 00:00:00 -0500",California
137,,California,,,,,"Reservoirs Rise, but Groundwater Woes Remain",https://earthobservatory.nasa.gov/images/150953/reservoirs-rise-but-groundwater-woes-remain,The water delivered by winter storms in 2022-2023 is likely insufficient to reverse the longer-term depletion of California’s groundwater.,"Mon, 13 Feb 2023 00:00:00 -0500",California
