,title,link,description,published,city,state_name,county_name,lat,lng
1014,Appeal started over badger cull,http://www.bbc.co.uk/news/uk-england-18923207#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Campaigners lodge an appeal after failing in a legal bid to block government plans to stage trial badger culls in England.,"Fri, 20 Jul 2012 11:45:04 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1015,Report into nuclear waste storage,http://www.bbc.co.uk/news/science-environment-18927945#sa-ns_mchannel=rssns_source=PublicRSS20-sa,A report into the implications for an area in northern England hosting a high-level nuclear waste repository is released.,"Fri, 20 Jul 2012 14:08:25 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1016,Plan 'to wipe out bovine TB by 2038',http://www.bbc.co.uk/news/science-environment-23162183#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Ministers have set out their long-term plans for fighting TB in cattle - aiming for England to become TB-free within 25 years.,"Thu, 04 Jul 2013 13:22:28 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1017,Drought ends in parts of England,http://www.bbc.co.uk/news/uk-18032552#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"South-west England, the Midlands and parts of Yorkshire are no longer in drought following heavy rain in recent weeks, the Environment Agency said.","Fri, 11 May 2012 16:49:35 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1018,Schools 'fail girls in physics',http://www.bbc.co.uk/news/education-19603399#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Nearly half of all state schools in England do not send any girls on to study A-level physics, a study by the Institute of Physics finds.","Wed, 03 Oct 2012 02:26:07 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1019,VIDEO: Girls on why they still love physics,http://www.bbc.co.uk/news/science-environment-19805534#sa-ns_mchannel=rssns_source=PublicRSS20-sa,A new study has shown that nearly half of all state schools in England are not sending any girls to study A-level physics.,"Tue, 02 Oct 2012 23:16:06 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1020,Drought measures sought at summit,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-17091256,"Parts of England face ""crippling drought"" with some rivers and groundwater levels lower than in 1976, it is warned, as a drought summit is held.","Mon, 20 Feb 2012 13:51:22 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1021,VIDEO: Substance 'could kill more birds',http://www.bbc.co.uk/news/uk-21297092#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Tests are being carried out on a sticky white wax that has been found on more than 100 seabirds washed up along England's south-west coastline.,"Fri, 01 Feb 2013 22:34:57 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1022,England's environment 'in decline',http://www.bbc.co.uk/news/uk-30996096#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"England's natural environment is in decline and its deterioration is harming the economy, an independent advisory group warns.","Tue, 27 Jan 2015 14:52:40 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1023,VIDEO: Ancient underwater forest found off UK,http://www.bbc.co.uk/news/uk-england-30905267#sa-ns_mchannel=rssns_source=PublicRSS20-sa,BBC Inside Out reveals a 'lost world' with the discovery of a remarkable submerged forest thousands of years old underneath the sea off eastern England.,"Mon, 26 Jan 2015 00:28:41 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1024,VIDEO: Is this November unusually wet?,http://www.bbc.co.uk/news/uk-20503775#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"River levels have risen in northern England and north Wales, threatening more flooding but are this month's downpours any heavier than usual?","Mon, 26 Nov 2012 23:00:10 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1025,Flood defence assessment completed,http://www.bbc.co.uk/news/science-environment-27095617#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"For the first time in its history, the Environment Agency assesses the state of all flood defences in England following 'unprecedented' winter storms.","Mon, 21 Apr 2014 09:25:16 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1026,Ministers in U-turn over buzzards,http://www.bbc.co.uk/news/uk-politics-18262300#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Plans which could have allowed some gamekeepers in England to capture buzzards and destroy their nests to stop them eating pheasants are abandoned.,"Wed, 30 May 2012 15:05:56 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1027,VIDEO: Buzzard capture plans condemned,http://www.bbc.co.uk/news/science-environment-18186423#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Conservationists say they're outraged by proposals to allow Buzzards to be captured and their nests destroyed in an effort to protect young pheasants in England.,"Thu, 24 May 2012 06:02:18 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1028,Richard the Lionheart's heart probed,http://www.bbc.co.uk/news/science-environment-21609783#sa-ns_mchannel=rssns_source=PublicRSS20-sa,The mummified heart of England's King Richard I - better known as Richard the Lionheart - is analysed by forensic scientists.,"Thu, 28 Feb 2013 14:04:44 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1029,In pictures: Top trunks,http://www.bbc.co.uk/nature/28791750,"The search for England's ""Tree of the Year""","Fri, 15 Aug 2014 01:23:52 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1030,England 'exposed' to climate risks,http://www.bbc.co.uk/news/science-environment-28214685#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"England is still not doing enough to tackle the risks from climate change, government advisers say.","Wed, 09 Jul 2014 03:44:55 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1031,TB: Farmers face new cattle controls,http://www.bbc.co.uk/news/science-environment-23635098#sa-ns_mchannel=rssns_source=PublicRSS20-sa,New measures to try to slow the spread of bovine TB in England have been announced by the government.,"Mon, 12 Aug 2013 16:05:59 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1032,Lack of kit 'hampers school science',http://www.bbc.co.uk/news/education-22369573#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Pupils at many state-funded schools in England miss out on practical science experiments because of a lack of basic equipment, a report suggests.","Thu, 02 May 2013 21:19:22 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1033,Science plan 'weakens sex education',http://www.bbc.co.uk/news/education-22123131#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Sex education in schools is at risk of being ""watered down"" if proposed changes to England's science curriculum go ahead, experts have warned.","Fri, 12 Apr 2013 13:57:19 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1034,VIDEO: Lack of rain devastating UK crops,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-13538304,Farmers in eastern parts of England say the lack of rain has had a devastating effect on their crops after the warmest April on record.,"Wed, 25 May 2011 08:42:47 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1035,Roman 'murder victim' unearthed,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-england-kent-13211331,The body of a girl thought to have been murdered by Roman soldiers is discovered by archaeologists in southeast England.,"Thu, 28 Apr 2011 14:17:22 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1036,Labour oppose England badger cull,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-politics-14572655,Labour launch a campaign arguing that government plans for a cull would not help reduce the spread of cattle tuberculosis.,"Thu, 18 Aug 2011 23:55:21 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1037,Online farm payment system ditched,http://www.bbc.co.uk/news/uk-31976230#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"A multi-million pound government IT system to process EU subsidy payments for farmers in England has been largely abandoned following ""performance problems"".","Fri, 20 Mar 2015 10:37:40 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1038,Schools 'making gender bias worse',http://www.bbc.co.uk/news/science-environment-25243274#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Half of the mixed state-funded schools in England reinforce gender imbalances in terms of subjects students study at A-level, research shows.","Mon, 09 Dec 2013 01:37:37 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
1039,Badger cull plan 'crazy scheme',http://www.bbc.co.uk/news/science-environment-19623931#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"The scientist whose research is being cited by the government to justify its plan to cull badgers in England has described the scheme as ""crazy"".","Mon, 17 Sep 2012 16:16:04 GMT",England,Arkansas,Lonoke,34.5454,-91.9675
